stock,buy_price,n_shares,sell_price,net_gain,buy_date,sell_date
BA,202.72,14,211.63,124.73999999999995,2021-01-05,2021-01-06
MSFT,212.25,14,219.62,103.18000000000006,2021-01-07,2021-01-09
MMM,165.2,19,170.22,95.3800000000002,2021-01-12,2021-01-21
HON,205.23,16,195.37,-157.75999999999976,2021-01-22,2021-01-30
V,193.25,16,202.61,149.76000000000022,2021-01-31,2021-02-03
MRK,77.32,42,74.89,-102.05999999999969,2021-02-04,2021-02-11
PG,128.33,25,127.12,-30.2500000000002,2021-02-12,2021-02-22
AAPL,126.0,25,120.99,-125.25000000000013,2021-02-23,2021-02-26
AAPL,121.26,25,127.79,163.25000000000003,2021-02-27,2021-03-02
CRM,213.47,15,206.0,-112.04999999999998,2021-03-03,2021-03-04
AMGN,221.91,14,228.99,99.12000000000018,2021-03-05,2021-03-10
INTC,62.25,51,64.78,129.03000000000006,2021-03-11,2021-03-17
PG,128.42,25,132.6,104.50000000000017,2021-03-18,2021-03-24
GS,328.65,10,327.64,-10.099999999999909,2021-03-25,2021-04-04
KO,52.51,65,53.08,37.05000000000002,2021-04-05,2021-04-15
JNJ,160.39,21,166.48,127.89000000000007,2021-04-16,2021-04-21
VZ,58.14,61,56.32,-111.02000000000001,2021-04-22,2021-04-28
WMT,137.89,25,142.12,105.75000000000045,2021-04-29,2021-05-04
CRM,215.4,16,217.66,36.159999999999854,2021-05-06,2021-05-16
VZ,58.69,61,56.92,-107.96999999999976,2021-05-17,2021-05-20
VZ,56.79,61,56.49,-18.299999999999827,2021-05-21,2021-05-31
HD,318.91,10,307.34,-115.7000000000005,2021-06-01,2021-06-10
CAT,225.73,14,217.16,-119.9799999999999,2021-06-11,2021-06-17
CAT,209.45,15,219.34,148.35000000000022,2021-06-18,2021-06-25
MCD,232.42,14,233.63,16.94000000000011,2021-06-26,2021-07-06
BA,231.78,14,239.59,109.34000000000003,2021-07-08,2021-07-10
MRK,77.99,45,76.17,-81.8999999999997,2021-07-11,2021-07-21
VZ,55.95,61,55.78,-10.370000000000104,2021-07-22,2021-08-01
VZ,55.78,61,55.57,-12.810000000000052,2021-08-02,2021-08-12
V,231.79,14,231.36,-6.019999999999698,2021-08-13,2021-08-23
VZ,55.42,61,55.29,-7.930000000000156,2021-08-24,2021-09-03
WBA,51.29,66,49.45,-121.43999999999976,2021-09-04,2021-09-11
MMM,184.55,17,178.42,-104.2100000000004,2021-09-12,2021-09-22
CAT,191.35,16,200.0,138.4000000000001,2021-09-23,2021-09-28
NKE,145.3,22,151.85,144.09999999999962,2021-09-29,2021-10-08
VZ,53.24,65,51.33,-124.15000000000023,2021-10-09,2021-10-13
JPM,161.0,20,166.61,112.20000000000027,2021-10-14,2021-10-16
TRV,155.64,22,162.37,148.0600000000004,2021-10-17,2021-10-23
BA,212.97,16,212.77,-3.199999999999818,2021-10-24,2021-11-03
V,208.78,17,216.67,134.12999999999977,2021-11-05,2021-11-06
GS,407.08,9,403.09,-35.91000000000008,2021-11-07,2021-11-17
GS,391.55,9,406.34,133.10999999999967,2021-11-18,2021-11-24
MMM,177.63,21,170.04,-159.39000000000007,2021-11-25,2021-12-01
GS,376.48,9,389.3,115.37999999999994,2021-12-02,2021-12-07
INTC,52.57,72,50.48,-150.48000000000025,2021-12-08,2021-12-10
CRM,266.03,13,255.59,-135.7199999999996,2021-12-11,2021-12-15
VZ,50.55,69,52.75,151.80000000000018,2021-12-16,2021-12-17
HD,387.98,9,404.09,144.9899999999996,2021-12-18,2021-12-28
